#{"t_start": 1762030206.9210997, "env_id": "None"}
r,l,t
-41.786723,2500,6.761712
-129.37937,1368,9.930685
-124.425907,1506,13.388242
1.30486,1798,17.114424
27.80344,2700,22.622315
142.934312,412,23.95262
122.962801,414,25.344784
349.08204,2700,56.535812
122.8543,425,60.252609
-124.122342,1257,65.329382
135.900219,340,66.448837
44.979835,2110,70.755745
-29.137833,1253,73.584291
11.121113,2048,78.58181
-134.505668,825,91.541009
122.992265,410,93.109297
122.981148,414,94.448118
-119.205301,1081,96.94669
172.049003,465,98.467108
-139.418845,1211,101.286104
135.765476,414,102.643231
-124.137144,997,105.112211
4.281043,2124,109.959447
128.017174,425,111.185716
152.788681,414,112.615717
-121.026058,2467,119.874583
-109.406558,2022,133.552392
-134.331194,998,135.845855
127.807684,414,137.339748
182.855275,414,138.749863
-79.19878,908,141.24857
52.657758,2700,147.065882
140.821266,340,148.380415
-99.578626,1449,151.6316
160.453278,1738,155.466484
-119.890937,867,167.322714
135.734734,340,168.593505
20.905868,1264,172.116421
-54.008038,1615,175.788427
162.691754,340,176.947679
-139.204754,804,178.978801
-99.410216,2290,183.867388
142.917697,411,185.172822
60.684263,1913,190.121529
135.83979,414,191.471513
-113.52328,1255,204.736856
167.692814,1049,208.808657
182.021967,2617,217.499245
-126.625232,736,219.985002
-119.045369,1018,223.507699
114.480455,1044,227.267309
38.10043,1836,231.195127
-88.278639,1953,248.402535
-87.037005,685,251.401583
-119.941085,1895,255.899078
-94.840338,982,259.104257
-127.27483,922,262.350319
-119.408995,1048,265.012559
-82.615067,1497,269.561317
308.828741,1542,276.029889
195.928901,414,277.96444
122.80961,414,279.367356
135.477114,340,282.13098
4.620083,1206,308.058835
75.412981,2700,313.619796
202.560008,878,317.697113
-111.959434,956,325.639439
-119.743323,2176,331.571508
109.499521,1471,343.252617
-55.338664,1149,349.216325
122.210849,994,353.307237
-127.02339,704,371.121604
-117.027159,963,374.66925
127.347408,996,378.604876
-30.387949,1294,384.071981
-114.196223,1293,389.148362
-91.804833,975,397.346527
113.80567,1314,407.582421
135.848743,340,410.112062
146.316931,810,416.291114
226.882689,2412,429.186123
92.065138,1894,456.846345
142.664636,865,459.846428
128.712774,1082,463.538743
124.253777,1295,469.687395
-105.511091,1594,473.727495
167.566666,1058,478.296923
155.596258,414,479.603314
-87.283548,1227,484.004688
-75.193641,1399,497.903288
-62.121808,2221,502.117208
152.902045,752,505.134129
-127.216369,748,507.981668
-127.195835,1023,511.713949
-122.17591,730,514.50588
140.728703,340,515.838037
197.207757,1383,521.494794
-126.967631,1168,525.782549
-57.283602,1424,530.39201
172.478365,1170,545.702828
258.749658,1981,551.897452
-127.38078,1105,556.349615
-39.159074,1100,559.004586
135.854546,340,560.207948
182.619644,1573,566.914549
109.646775,1012,571.164405
104.048948,2032,583.107533
-58.980442,1825,606.022469
127.592408,1005,609.567222
121.850257,943,612.595998
237.136555,1395,620.038419
122.750658,411,622.978575
155.754403,412,625.808056
-99.233356,1250,632.019217
182.166804,1227,640.257897
142.650247,770,643.298095
-39.944718,1758,649.608064
199.071617,1638,683.782536
219.732934,1396,694.635693
-119.344081,1647,700.347022
131.939643,1216,704.708099
114.15326,744,707.647632
195.474084,1033,711.446787
-117.086104,915,714.735102
-54.846733,1288,719.225964
-106.128899,1026,722.479583
202.710144,784,725.159466
128.625565,1571,754.229141
-74.323964,1872,763.674177
-127.122874,803,770.644981
162.525261,1015,774.037928
152.307461,1377,778.355584
142.458695,1456,783.068015
127.928245,630,786.003896
135.512599,340,787.307325
-49.53949,1658,791.413011
129.510798,1445,810.856164
162.635251,1051,819.580103
155.312655,1088,828.33562
122.844613,340,830.799678
122.432909,747,837.109823
127.88291,340,839.520263
-75.844247,1138,848.723938
-101.092027,1841,862.839096
155.254623,1395,874.222834
192.564871,1567,887.391416
154.640752,1967,925.829197
124.055052,933,933.426914
-114.689742,1002,941.576644
-127.095735,880,949.771086
142.41142,340,952.94404
-142.501753,1606,966.125715
-58.982131,792,971.212375
182.973578,792,978.664965
-134.341306,971,987.315158
137.416031,424,990.410299
204.295714,1223,1002.054873
138.659087,340,1032.04958
-126.996222,734,1040.699045
-89.326109,1255,1051.229555
-134.386757,1520,1059.692925
-107.317231,1766,1068.883543
6.90999,1186,1075.299536
140.5511,615,1078.8905
-122.427942,969,1083.936783
148.76069,1133,1087.695753
142.578222,736,1093.916741
-85.291246,1089,1125.673637
-147.172572,520,1135.675531
248.374359,2455,1154.362413
-94.997791,875,1161.691337
-116.611963,687,1167.724018
142.384189,1080,1176.348541
-45.56462,1271,1186.012305
-107.879524,849,1192.916129
157.246089,1003,1200.73156
-139.000979,1201,1207.461668
191.938768,928,1237.553374
232.479928,756,1243.861947
-126.793891,682,1249.489839
135.901885,340,1252.297057
254.420295,1440,1263.845415
-113.164229,1232,1273.92963
-35.090485,1040,1282.654555
