#{"t_start": 1762038087.9919715, "env_id": "None"}
r,l,t
133.572936,420,2.619106
-119.250939,1588,6.757043
135.588371,340,7.964975
109.178854,414,9.252581
-157.675801,1315,13.128909
-88.230615,2055,18.139408
-150.230916,929,20.810422
135.809446,340,22.107405
-47.016648,1389,25.635042
-152.042884,1016,28.171759
-149.960729,941,30.839852
-139.295617,642,43.550695
-138.229061,826,45.573782
-94.627753,1621,48.96303
-79.783074,919,50.934626
135.576447,414,52.241448
-132.974995,2009,55.982689
-53.827747,1934,61.022207
-65.033142,2651,77.879669
50.348692,2700,83.842975
-33.64476,2429,89.898931
175.866491,340,91.195293
-87.139048,2561,99.493186
-23.911574,2532,105.777122
-121.925445,1709,132.275466
-97.859426,1249,150.415344
-139.660277,703,164.744716
-163.603403,1077,182.279483
-81.468776,2432,191.129489
-96.194761,2649,197.46705
-142.398655,1187,209.113106
-130.52343,1717,213.596685
112.294075,414,215.310993
130.120247,340,216.980332
-131.818215,1916,221.95761
-40.380224,1132,225.248778
-154.841387,846,227.9914
-144.495712,1062,231.383646
165.818863,414,233.243787
149.68418,912,236.999305
138.402237,2700,251.993986
-154.254174,1528,256.026506
-128.135176,1442,261.789277
-110.943017,1436,267.344556
155.8383,340,269.045142
-105.024207,1601,273.359987
-1.649561,1980,280.479336
132.040212,1396,285.945585
-121.747967,1228,299.926891
-158.66647,958,304.051778
158.712783,888,307.947933
-129.894107,1119,312.607127
115.365512,1579,318.782466
129.626621,1032,323.125358
64.094288,1390,328.490072
175.807887,340,330.164085
-23.207476,1859,336.8154
87.565531,414,338.67882
-132.245092,1280,352.053656
228.512639,1218,357.620505
-74.885016,1311,378.776778
-121.51018,1034,398.395064
135.803073,414,409.727767
135.762412,423,420.778693
-147.093378,826,430.664047
-75.729071,2315,439.818776
-141.19905,1074,444.768266
-45.864308,1540,460.155835
163.183805,1020,464.763366
147.8778,865,468.896858
98.274021,740,472.826989
165.820287,340,474.633584
243.664918,1422,480.912235
135.119315,1351,487.318741
-123.313127,2037,493.038348
225.856496,340,494.573308
108.37508,2073,502.671521
273.901027,825,517.315114
135.849305,340,518.468975
131.378608,1035,521.945115
-79.087208,872,524.905815
172.654572,1011,528.336346
129.067696,1536,533.348701
153.094336,1153,538.143942
129.890395,1149,542.647586
180.082253,2072,549.654944
100.257541,1185,563.14024
113.910938,414,564.410511
-127.796356,1422,572.407918
-19.751043,1916,589.729334
-145.819379,797,597.762456
111.310772,1244,608.648216
140.476203,1205,619.895391
133.261293,1577,634.375534
-87.080469,2034,650.871288
128.9561,340,681.771366
131.151471,1225,694.047448
-78.071,800,702.432751
-122.224424,1780,713.464687
153.404956,2112,733.307719
-68.188816,819,741.974806
-127.462623,1254,753.55659
351.435604,1952,771.139395
97.115831,1541,807.066133
-96.949553,1609,821.584469
165.829113,340,824.999774
155.757002,937,835.166412
155.764474,340,837.992459
135.741125,340,841.415896
-130.719404,1190,852.018277
96.236176,1368,865.248922
-135.072526,1384,878.064518
-39.618141,1207,886.008487
135.863379,414,888.901003
135.816356,340,891.403461
-154.437648,995,927.240308
241.115912,1766,941.116186
110.776647,429,943.723202
299.061612,2468,962.69559
104.214985,1415,973.758146
122.005546,444,976.724137
-21.982943,1286,987.302179
195.896027,424,990.609833
123.42596,1071,999.922754
-75.506932,1381,1040.884644
-158.031801,841,1045.559321
171.869014,785,1052.547938
156.288107,823,1059.203339
-114.341887,1667,1071.772422
-136.260539,1540,1083.464874
-61.38021,1969,1097.991047
133.662696,1047,1106.556924
195.852313,340,1109.179861
117.250748,414,1112.005347
-160.835626,912,1147.688113
-16.397603,961,1155.969667
7.660493,1379,1166.970572
-86.96544,2379,1187.195916
145.369796,340,1189.934588
-118.026039,1662,1198.830267
201.923515,865,1206.057327
-157.020289,1638,1217.190824
-151.267759,646,1223.173434
135.910211,340,1225.64535
119.073414,675,1259.720547
